Date,High,Low,Open,Close,Volume
2018-01-02,51400,50780,51380,51020,8474250
2018-01-03,52560,51420,52540,51620,10013500
2018-01-04,52180,50640,52120,51080,11695450
2018-01-05,52120,51200,51300,52120,9481150
2018-01-08,52520,51500,52400,52020,8383650
2018-01-09,51720,49980,51460,50400,18013600
2018-01-10,50520,48640,50500,48840,18566800
2018-01-11,49260,48020,48200,48240,25123800
2018-01-12,48480,46760,48240,48200,27270450
2018-01-15,48980,47920,48800,48540,10096000
2018-01-16,50140,48620,48760,50000,20389650
2018-01-17,50020,49060,50020,49620,11053050
2018-01-18,50640,49820,50020,49900,14848850
2018-01-19,50380,49040,50380,49320,9219950
2018-01-22,48680,47960,48640,48240,12520900
2018-01-23,49160,48300,48660,49160,13532700
2018-01-24,49700,48560,48860,49340,9550500
2018-01-25,50360,49160,49220,50260,11160350
2018-01-26,50780,49840,50500,50780,10350100
2018-01-29,51480,50900,51200,51220,11838800
2018-01-30,50640,49780,50440,49800,12284550
2018-01-31,54140,49600,50020,49900,64681300
2018-02-01,50960,49720,50620,49820,27609450
2018-02-02,49400,47700,49380,47700,29260350
2018-02-05,48320,46000,46500,47920,28357900
2018-02-06,47920,46580,46600,47420,19406450
2018-02-07,48260,45800,48240,45800,23448050
2018-02-08,46620,45980,46120,46000,23251050
2018-02-09,45180,44420,44440,44700,17465000
2018-02-12,46320,45040,45100,45720,15754950
2018-02-13,48060,46200,46200,47540,18923250
2018-02-14,49100,47940,48080,49000,18905900
2018-02-19,49800,47860,49800,48380,15353450
2018-02-20,48160,47220,48040,47400,10122600
2018-02-21,47580,46840,47280,47280,12880200
2018-02-22,47260,46760,47260,46760,8869950
2018-02-23,47800,46760,46760,47220,12423300
2018-02-26,47560,47080,47280,47380,9560650
2018-02-27,48380,47380,48360,47380,9830550
2018-02-28,48100,47000,47380,47060,15162350
2018-03-02,46800,46000,46580,46020,13265500
2018-03-05,46160,45080,45820,45200,14100950
2018-03-06,47100,45820,45920,47020,15423350
2018-03-07,48900,47220,48200,48620,21427050
2018-03-08,49480,48080,49200,49200,19463650
2018-03-09,50540,49240,49440,49740,14304400
2018-03-12,50780,49580,50560,49740,8688950
2018-03-13,51660,50360,50760,51660,20098700
2018-03-14,52000,51000,51020,51760,12713250
2018-03-15,52020,51020,52000,51540,8882450
2018-03-16,51420,50240,51220,51140,12184900
2018-03-19,51340,50440,50620,50740,8218850
2018-03-20,51200,50100,50700,51200,8193250
2018-03-21,51780,51060,51780,51060,8905200
2018-03-22,51780,51040,51060,51780,8454100
2018-03-23,50720,49600,50340,49720,14854950
2018-03-26,50280,49040,49420,50280,10057750
2018-03-27,50460,49080,50320,49980,11874000
2018-03-28,49100,48340,49100,48700,15159450
2018-03-29,49560,48320,48700,49040,10067000
2018-03-30,49900,49080,49080,49220,7777100
2018-04-02,49220,48500,49000,48540,7115650
2018-04-03,48140,47280,47880,48120,12768250
2018-04-04,48260,46920,48160,46920,12384200
2018-04-05,49380,47340,47400,48740,13245600
2018-04-06,48580,47400,48000,48400,12532700
2018-04-09,49440,48200,48260,49200,9950400
2018-04-10,49220,48040,48540,48880,10984350
2018-04-11,49900,48600,49900,48860,10051100
2018-04-12,49440,48880,49440,49000,12466250
2018-04-13,50180,49400,49600,49800,10278300
2018-04-16,50600,49860,50320,50340,7877450
2018-04-17,50540,49820,50240,49980,7772000
2018-04-18,51360,50580,51000,51360,13462600
2018-04-19,52980,51540,52000,52780,17190550
2018-04-20,52260,51420,51800,51620,11761000
2018-04-23,52080,51000,51000,51900,11619000
2018-04-24,51860,50080,51840,50460,15770300
2018-04-25,50500,49220,49220,50400,16614600
2018-04-26,52160,50400,50420,52140,18046550
2018-04-27,53640,52440,53380,53000,30310800
2018-04-30,53000,53000,53000,53000,0
2018-05-02,53000,53000,53000,53000,0
2018-05-03,53000,53000,53000,53000,0
2018-05-04,53900,51800,53000,51900,39565391
2018-05-08,53200,51900,52600,52600,23104720
2018-05-09,52800,50900,52600,50900,16128305
2018-05-10,51700,50600,51700,51600,13905263
2018-05-11,52200,51200,52000,51300,10314997
2018-05-14,51100,49900,51000,50100,14909272
2018-05-15,50400,49100,50200,49200,18709146
2018-05-16,50200,49150,49200,49850,15918683
2018-05-17,50500,49400,50300,49400,10365440
2018-05-18,49900,49350,49900,49500,6706570
2018-05-21,50200,49100,49650,50000,9020998
2018-05-23,52000,50400,50600,51800,17095490
2018-05-24,52000,51100,52000,51400,8289275
2018-05-25,52800,50800,51000,52700,15207266
2018-05-28,53000,52000,52500,52300,9787820
2018-05-29,52500,51300,52200,51300,8480437
2018-05-30,51500,49100,51300,49500,20498098
2018-05-31,50800,49850,50400,50700,63491109
2018-06-01,51700,49950,50500,51300,13038499
2018-06-04,51200,50700,50800,51100,9767171
2018-06-05,51400,50400,51100,51300,9144100
2018-06-07,51800,50500,51800,50600,13590016
2018-06-08,50400,49600,50200,49650,16951706
2018-06-11,50300,49350,49750,49900,10571312
2018-06-12,49800,49250,49700,49400,12110569
2018-06-14,49000,48200,49000,48200,20971729
2018-06-15,48700,47650,48500,47650,17080892
2018-06-18,47650,46200,47600,46600,16661870
2018-06-19,47350,46500,47200,47000,15217971
2018-06-20,47600,46850,47450,47000,12959316
2018-06-21,47900,47050,47900,47050,10015541
2018-06-22,47250,46200,47000,47250,10298006
2018-06-25,47050,46150,47050,46650,10587711
